Date,value
01/01/1996,79.35
01/02/1996,75.78
01/03/1996,86.32
01/04/1996,72.6
01/05/1996,74.86
01/06/1996,83.81
01/07/1996,79.8
01/08/1996,62.41
01/09/1996,85.41
01/10/1996,83.11
01/11/1996,84.21
01/12/1996,89.7
01/01/1997,78.64
01/02/1997,77.42
01/03/1997,89.86
01/04/1997,81.27
01/05/1997,78.68
01/06/1997,89.51
01/07/1997,83.67
01/08/1997,69.8
01/09/1997,91.09
01/10/1997,89.43
01/11/1997,91.04
01/12/1997,92.87
01/01/1998,81.87
01/02/1998,85.36
01/03/1998,92.98
01/04/1998,81.09
01/05/1998,85.64
01/06/1998,91.14
01/07/1998,83.46
01/08/1998,66.37
01/09/1998,93.34
01/10/1998,85.93
01/11/1998,86.81
01/12/1998,93.3
01/01/1999,81.59
01/02/1999,81.77
01/03/1999,91.24
01/04/1999,79.45
01/05/1999,86.99
01/06/1999,96.6
01/07/1999,97.99
01/08/1999,79.13
01/09/1999,103.56
01/10/1999,100.89
01/11/1999,99.4
01/12/1999,111.8
01/01/2000,95.3
01/02/2000,97.77
01/03/2000,116.23
01/04/2000,100.98
01/05/2000,104.07
01/06/2000,114.64
01/07/2000,107.62
01/08/2000,96.12
01/09/2000,123.5
01/10/2000,116.12
01/11/2000,116.86
01/12/2000,128.61
01/01/2001,100.56
01/02/2001,103.05
01/03/2001,119.06
01/04/2001,92.46
01/05/2001,98.75
01/06/2001,111.14
01/07/2001,96.13
01/08/2001,79.72
01/09/2001,102.07
01/10/2001,96.18
01/11/2001,101.26
01/12/2001,109.85
01/01/2002,89.52
01/02/2002,89.27
01/03/2002,104.35
01/04/2002,87.05
01/05/2002,89.33
01/06/2002,102.2
01/07/2002,88.13
01/08/2002,75.68
01/09/2002,99.48
01/10/2002,96.4
01/11/2002,96.16
01/12/2002,101
01/01/2003,89.34
01/02/2003,86.91
01/03/2003,98.9
01/04/2003,85.54
01/05/2003,85.25
01/06/2003,101.14
01/07/2003,91.8
01/08/2003,76.98
01/09/2003,104.33
01/10/2003,99.72
01/11/2003,101.06
01/12/2003,109
01/01/2004,89.88
01/02/2004,92.27
01/03/2004,105.11
01/04/2004,91.5
01/05/2004,92.56
01/06/2004,104.35
01/07/2004,96.21
01/08/2004,79.58
01/09/2004,105.43
01/10/2004,99.18
01/11/2004,99.77
01/12/2004,113.55
01/01/2005,91.65
01/02/2005,90.56
01/03/2005,105.52
01/04/2005,92.18
01/05/2005,91.22
01/06/2005,109.04
01/07/2005,99.26
01/08/2005,83.36
01/09/2005,110.8
01/10/2005,104.95
01/11/2005,107.07
01/12/2005,114.4
01/01/2006,99.16
01/02/2006,99.86
01/03/2006,116.14
01/04/2006,103.48
01/05/2006,103.07
01/06/2006,119.32
01/07/2006,107.94
01/08/2006,90.59
01/09/2006,121.8
01/10/2006,117.11
01/11/2006,113.71
01/12/2006,120.37
01/01/2007,103.93
01/02/2007,104.1
01/03/2007,125.72
01/04/2007,104.7
01/05/2007,108.45
01/06/2007,123.11
01/07/2007,108.89
01/08/2007,94.07
01/09/2007,121.88
01/10/2007,116.81
01/11/2007,115.87
01/12/2007,127.14
01/01/2008,109.45
01/02/2008,105.23
01/03/2008,121.32
01/04/2008,108.78
01/05/2008,103.2
01/06/2008,117.93
01/07/2008,103.76
01/08/2008,89.27
01/09/2008,109.5
01/10/2008,104.02
01/11/2008,100.12
01/12/2008,101.18
01/01/2009,77.38
01/02/2009,75.19
01/03/2009,86.4
01/04/2009,74.13
01/05/2009,74.1
01/06/2009,85.61
01/07/2009,79.9
01/08/2009,65.36
01/09/2009,88.09
01/10/2009,84.6
01/11/2009,88.09
01/12/2009,102.52
01/01/2010,79.28
01/02/2010,78.74
01/03/2010,94.62
01/04/2010,84.66
01/05/2010,85.2
01/06/2010,103.94
01/07/2010,89.87
01/08/2010,78.14
01/09/2010,96.5
01/10/2010,94.68
01/11/2010,101.77
01/12/2010,103.48
01/01/2011,92.57
01/02/2011,89.16
01/03/2011,104.48
01/04/2011,89.45
01/05/2011,93.4
01/06/2011,102.9
01/07/2011,93.77
01/08/2011,77.58
01/09/2011,95.04
01/10/2011,91.77
01/11/2011,93.37
01/12/2011,98.34
01/01/2012,86.44
01/02/2012,85.04
01/03/2012,97.8
